"rules","support","confidence","lift","count"
"{feathers} => {type=ave}",0.202020202020202,1,4.95,20
"{milk} => {type=mamifero}",0.404040404040404,1,2.475,40
"{hair} => {type=mamifero}",0.383838383838384,0.904761904761905,2.23928571428571,38
"{eggs,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{feathers,airborne} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,breathes} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{milk,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{hair,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{legs=4,catsize} => {type=mamifero}",0.252525252525253,0.961538461538462,2.37980769230769,25
"{legs=4,tail} => {type=mamifero}",0.282828282828283,0.903225806451613,2.23548387096774,28
"{hair,milk} => {type=mamifero}",0.383838383838384,1,2.475,38
"{milk,catsize} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,predator} => {type=mamifero}",0.212121212121212,1,2.475,21
"{milk,toothed} => {type=mamifero}",0.393939393939394,1,2.475,39
"{milk,breathes} => {type=mamifero}",0.404040404040404,1,2.475,40
"{milk,tail} => {type=mamifero}",0.353535353535354,1,2.475,35
"{milk,backbone} => {type=mamifero}",0.404040404040404,1,2.475,40
"{hair,catsize} => {type=mamifero}",0.292929292929293,1,2.475,29
"{hair,predator} => {type=mamifero}",0.191919191919192,1,2.475,19
"{hair,toothed} => {type=mamifero}",0.373737373737374,1,2.475,37
"{hair,breathes} => {type=mamifero}",0.383838383838384,0.904761904761905,2.23928571428571,38
"{hair,tail} => {type=mamifero}",0.333333333333333,1,2.475,33
"{hair,backbone} => {type=mamifero}",0.383838383838384,1,2.475,38
"{eggs,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,backbone,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,legs=0} => {type=pez}",0.131313131313131,0.928571428571429,7.07142857142857,13
"{feathers,airborne,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,breathes} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,backbone} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,breathes,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,breathes} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,backbone} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,breathes,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone,breathes} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,airborne,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,backbone} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,breathes,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,backbone,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{hair,milk,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{milk,predator,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{milk,toothed,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{milk,breathes,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{milk,backbone,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{hair,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,predator,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,toothed,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{hair,breathes,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{hair,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,backbone,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{predator,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{toothed,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{breathes,legs=4,catsize} => {type=mamifero}",0.252525252525253,0.961538461538462,2.37980769230769,25
"{legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,0.958333333333333,2.371875,23
"{backbone,legs=4,catsize} => {type=mamifero}",0.252525252525253,0.961538461538462,2.37980769230769,25
"{toothed,legs=4,tail} => {type=mamifero}",0.272727272727273,0.931034482758621,2.30431034482759,27
"{breathes,legs=4,tail} => {type=mamifero}",0.282828282828283,0.903225806451613,2.23548387096774,28
"{backbone,legs=4,tail} => {type=mamifero}",0.282828282828283,0.903225806451613,2.23548387096774,28
"{hair,milk,catsize} => {type=mamifero}",0.292929292929293,1,2.475,29
"{hair,milk,predator} => {type=mamifero}",0.191919191919192,1,2.475,19
"{hair,milk,toothed} => {type=mamifero}",0.373737373737374,1,2.475,37
"{hair,milk,breathes} => {type=mamifero}",0.383838383838384,1,2.475,38
"{hair,milk,tail} => {type=mamifero}",0.333333333333333,1,2.475,33
"{hair,milk,backbone} => {type=mamifero}",0.383838383838384,1,2.475,38
"{milk,predator,catsize} => {type=mamifero}",0.191919191919192,1,2.475,19
"{milk,toothed,catsize} => {type=mamifero}",0.303030303030303,1,2.475,30
"{milk,breathes,catsize} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,tail,catsize} => {type=mamifero}",0.272727272727273,1,2.475,27
"{milk,backbone,catsize} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,predator,toothed} => {type=mamifero}",0.202020202020202,1,2.475,20
"{milk,predator,breathes} => {type=mamifero}",0.212121212121212,1,2.475,21
"{milk,predator,tail} => {type=mamifero}",0.181818181818182,1,2.475,18
"{milk,predator,backbone} => {type=mamifero}",0.212121212121212,1,2.475,21
"{milk,toothed,breathes} => {type=mamifero}",0.393939393939394,1,2.475,39
"{milk,toothed,tail} => {type=mamifero}",0.343434343434343,1,2.475,34
"{milk,toothed,backbone} => {type=mamifero}",0.393939393939394,1,2.475,39
"{milk,breathes,tail} => {type=mamifero}",0.353535353535354,1,2.475,35
"{milk,backbone,breathes} => {type=mamifero}",0.404040404040404,1,2.475,40
"{milk,backbone,tail} => {type=mamifero}",0.353535353535354,1,2.475,35
"{hair,predator,catsize} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,toothed,catsize} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,breathes,catsize} => {type=mamifero}",0.292929292929293,1,2.475,29
"{hair,tail,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,backbone,catsize} => {type=mamifero}",0.292929292929293,1,2.475,29
"{hair,predator,toothed} => {type=mamifero}",0.181818181818182,1,2.475,18
"{hair,predator,breathes} => {type=mamifero}",0.191919191919192,1,2.475,19
"{hair,predator,tail} => {type=mamifero}",0.161616161616162,1,2.475,16
"{hair,predator,backbone} => {type=mamifero}",0.191919191919192,1,2.475,19
"{hair,toothed,breathes} => {type=mamifero}",0.373737373737374,1,2.475,37
"{hair,toothed,tail} => {type=mamifero}",0.323232323232323,1,2.475,32
"{hair,toothed,backbone} => {type=mamifero}",0.373737373737374,1,2.475,37
"{hair,breathes,tail} => {type=mamifero}",0.333333333333333,1,2.475,33
"{hair,backbone,breathes} => {type=mamifero}",0.383838383838384,1,2.475,38
"{hair,backbone,tail} => {type=mamifero}",0.333333333333333,1,2.475,33
"{toothed,breathes,catsize} => {type=mamifero}",0.303030303030303,1,2.475,30
"{eggs,aquatic,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,fins,legs=0,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,backbone,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,backbone,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,backbone,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,backbone,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,legs=0,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,backbone,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,tail} => {type=pez}",0.131313131313131,0.928571428571429,7.07142857142857,13
"{feathers,eggs,airborne,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,breathes,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,legs=2,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,backbone,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,breathes} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,backbone} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,breathes,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,backbone,breathes} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,backbone,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,breathes,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,backbone,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,breathes,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone,breathes,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,breathes,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,backbone,breathes} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,backbone,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone,breathes,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,airborne,breathes,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,legs=2,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,backbone,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,breathes,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,backbone,breathes} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,backbone,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,breathes,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,backbone,breathes,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,backbone,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{hair,milk,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,milk,predator,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,milk,toothed,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{hair,milk,breathes,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{hair,milk,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,milk,backbone,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,predator,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{milk,toothed,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{milk,breathes,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{milk,legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,1,2.475,23
"{milk,backbone,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{milk,predator,toothed,legs=4} => {type=mamifero}",0.161616161616162,1,2.475,16
"{milk,predator,breathes,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{milk,predator,legs=4,tail} => {type=mamifero}",0.151515151515152,1,2.475,15
"{milk,predator,backbone,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{milk,toothed,breathes,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{milk,toothed,legs=4,tail} => {type=mamifero}",0.272727272727273,1,2.475,27
"{milk,toothed,backbone,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{milk,breathes,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{milk,backbone,breathes,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,backbone,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,predator,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{hair,toothed,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{hair,breathes,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,1,2.475,23
"{hair,backbone,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,predator,toothed,legs=4} => {type=mamifero}",0.161616161616162,1,2.475,16
"{hair,predator,breathes,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,predator,legs=4,tail} => {type=mamifero}",0.151515151515152,1,2.475,15
"{hair,predator,backbone,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,toothed,breathes,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{hair,toothed,legs=4,tail} => {type=mamifero}",0.272727272727273,1,2.475,27
"{hair,toothed,backbone,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{hair,breathes,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,backbone,breathes,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{hair,backbone,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{predator,toothed,legs=4,catsize} => {type=mamifero}",0.141414141414141,1,2.475,14
"{predator,breathes,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{predator,legs=4,tail,catsize} => {type=mamifero}",0.131313131313131,1,2.475,13
"{predator,backbone,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{toothed,breathes,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{toothed,legs=4,tail,catsize} => {type=mamifero}",0.222222222222222,1,2.475,22
"{toothed,backbone,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{breathes,legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,0.958333333333333,2.371875,23
"{backbone,breathes,legs=4,catsize} => {type=mamifero}",0.252525252525253,0.961538461538462,2.37980769230769,25
"{backbone,legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,0.958333333333333,2.371875,23
"{toothed,breathes,legs=4,tail} => {type=mamifero}",0.272727272727273,0.931034482758621,2.30431034482759,27
"{toothed,backbone,legs=4,tail} => {type=mamifero}",0.272727272727273,0.931034482758621,2.30431034482759,27
"{backbone,breathes,legs=4,tail} => {type=mamifero}",0.282828282828283,0.903225806451613,2.23548387096774,28
"{hair,milk,predator,catsize} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,milk,toothed,catsize} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,milk,breathes,catsize} => {type=mamifero}",0.292929292929293,1,2.475,29
"{hair,milk,tail,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,milk,backbone,catsize} => {type=mamifero}",0.292929292929293,1,2.475,29
"{hair,milk,predator,toothed} => {type=mamifero}",0.181818181818182,1,2.475,18
"{hair,milk,predator,breathes} => {type=mamifero}",0.191919191919192,1,2.475,19
"{hair,milk,predator,tail} => {type=mamifero}",0.161616161616162,1,2.475,16
"{hair,milk,predator,backbone} => {type=mamifero}",0.191919191919192,1,2.475,19
"{hair,milk,toothed,breathes} => {type=mamifero}",0.373737373737374,1,2.475,37
"{hair,milk,toothed,tail} => {type=mamifero}",0.323232323232323,1,2.475,32
"{hair,milk,toothed,backbone} => {type=mamifero}",0.373737373737374,1,2.475,37
"{hair,milk,breathes,tail} => {type=mamifero}",0.333333333333333,1,2.475,33
"{hair,milk,backbone,breathes} => {type=mamifero}",0.383838383838384,1,2.475,38
"{hair,milk,backbone,tail} => {type=mamifero}",0.333333333333333,1,2.475,33
"{milk,predator,toothed,catsize} => {type=mamifero}",0.181818181818182,1,2.475,18
"{milk,predator,breathes,catsize} => {type=mamifero}",0.191919191919192,1,2.475,19
"{milk,predator,tail,catsize} => {type=mamifero}",0.161616161616162,1,2.475,16
"{milk,predator,backbone,catsize} => {type=mamifero}",0.191919191919192,1,2.475,19
"{milk,toothed,breathes,catsize} => {type=mamifero}",0.303030303030303,1,2.475,30
"{milk,toothed,tail,catsize} => {type=mamifero}",0.262626262626263,1,2.475,26
"{milk,toothed,backbone,catsize} => {type=mamifero}",0.303030303030303,1,2.475,30
"{milk,breathes,tail,catsize} => {type=mamifero}",0.272727272727273,1,2.475,27
"{milk,backbone,breathes,catsize} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,backbone,tail,catsize} => {type=mamifero}",0.272727272727273,1,2.475,27
"{milk,predator,toothed,breathes} => {type=mamifero}",0.202020202020202,1,2.475,20
"{milk,predator,toothed,tail} => {type=mamifero}",0.171717171717172,1,2.475,17
"{milk,predator,toothed,backbone} => {type=mamifero}",0.202020202020202,1,2.475,20
"{milk,predator,breathes,tail} => {type=mamifero}",0.181818181818182,1,2.475,18
"{milk,predator,backbone,breathes} => {type=mamifero}",0.212121212121212,1,2.475,21
"{milk,predator,backbone,tail} => {type=mamifero}",0.181818181818182,1,2.475,18
"{milk,toothed,breathes,tail} => {type=mamifero}",0.343434343434343,1,2.475,34
"{milk,toothed,backbone,breathes} => {type=mamifero}",0.393939393939394,1,2.475,39
"{milk,toothed,backbone,tail} => {type=mamifero}",0.343434343434343,1,2.475,34
"{milk,backbone,breathes,tail} => {type=mamifero}",0.353535353535354,1,2.475,35
"{hair,predator,toothed,catsize} => {type=mamifero}",0.161616161616162,1,2.475,16
"{hair,predator,breathes,catsize} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,predator,tail,catsize} => {type=mamifero}",0.141414141414141,1,2.475,14
"{hair,predator,backbone,catsize} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,toothed,breathes,catsize} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,toothed,tail,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{hair,toothed,backbone,catsize} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,breathes,tail,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,backbone,breathes,catsize} => {type=mamifero}",0.292929292929293,1,2.475,29
"{hair,backbone,tail,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,predator,toothed,breathes} => {type=mamifero}",0.181818181818182,1,2.475,18
"{hair,predator,toothed,tail} => {type=mamifero}",0.151515151515152,1,2.475,15
"{hair,predator,toothed,backbone} => {type=mamifero}",0.181818181818182,1,2.475,18
"{hair,predator,breathes,tail} => {type=mamifero}",0.161616161616162,1,2.475,16
"{hair,predator,backbone,breathes} => {type=mamifero}",0.191919191919192,1,2.475,19
"{hair,predator,backbone,tail} => {type=mamifero}",0.161616161616162,1,2.475,16
"{hair,toothed,breathes,tail} => {type=mamifero}",0.323232323232323,1,2.475,32
"{hair,toothed,backbone,breathes} => {type=mamifero}",0.373737373737374,1,2.475,37
"{hair,toothed,backbone,tail} => {type=mamifero}",0.323232323232323,1,2.475,32
"{hair,backbone,breathes,tail} => {type=mamifero}",0.333333333333333,1,2.475,33
"{predator,toothed,breathes,catsize} => {type=mamifero}",0.181818181818182,1,2.475,18
"{toothed,breathes,tail,catsize} => {type=mamifero}",0.262626262626263,1,2.475,26
"{toothed,backbone,breathes,catsize} => {type=mamifero}",0.303030303030303,1,2.475,30
"{eggs,aquatic,toothed,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,fins,legs=0,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,backbone,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,fins,legs=0,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,backbone,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,backbone,fins,legs=0,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,backbone,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,backbone,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,backbone,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,legs=0,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,backbone,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,backbone,legs=0,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,backbone,tail} => {type=pez}",0.131313131313131,0.928571428571429,7.07142857142857,13
"{feathers,eggs,airborne,breathes,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,legs=2,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,backbone,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,breathes,legs=2,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,backbone,breathes,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,backbone,legs=2,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,breathes,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,backbone,breathes} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,backbone,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,backbone,breathes,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,breathes,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,backbone,breathes,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,backbone,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone,breathes,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,backbone,breathes,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,airborne,breathes,legs=2,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,backbone,breathes,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,backbone,legs=2,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,backbone,breathes,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,backbone,breathes,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{hair,milk,predator,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{hair,milk,toothed,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{hair,milk,breathes,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,milk,legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,1,2.475,23
"{hair,milk,backbone,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,milk,predator,toothed,legs=4} => {type=mamifero}",0.161616161616162,1,2.475,16
"{hair,milk,predator,breathes,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
